code,area,population,population density,median age,children under 15,people over 64,fertility rate,Indigenous,religious,born overseas,born in Oceania,born in north-west Europe,born in southern & eastern Europe,born in north Africa & Middle East,born in south-east Asia,born in north-east Asia,born in southern & central Asia,born in Americas,born in sub-Saharan Africa,median house price,median income,low income (bottom quartile),high income (top quartile),postgraduates,university graduates,jobs: managers,jobs: professionals,jobs: technicians & trades,jobs: community work,jobs: clerical,jobs: sales,jobs: machinery & drivers,jobs: labourers,home owners (outright),home owners (mortgage),renters,detached houses,artificial surfaces,lng,lat
801011001,Aranda,2501.0,1600.0,42.8,0.212,0.18800000000000006,0.0195,0.006999999999999999,0.5700000000000001,0.24100000000000002,0.015,0.071,0.025,0.005,0.025,0.052000000000000005,0.02,0.015,0.011000000000000001,897500.0,70246.0,0.187,0.41,0.198,0.561,0.162,0.41600000000000004,0.065,0.075,0.114,0.062,0.01,0.084,0.444,0.344,0.185,0.8823529411764706,,149.08040991196629,-35.25815804005734
801011002,Belconnen,7634.0,1724.8,31.0,0.091,0.086,0.0101,0.012,0.571,0.462,0.018000000000000002,0.039,0.02,0.024,0.07200000000000001,0.163,0.09,0.021,0.013000000000000001,,56580.0,0.231,0.257,0.145,0.456,0.095,0.35200000000000004,0.08,0.152,0.11800000000000001,0.081,0.02,0.084,0.094,0.198,0.68,0.008714596949891068,0.013513513513513514,149.0676249375105,-35.23565157565873
801011003,Bruce,7679.0,1324.5,28.0,0.11100000000000002,0.09300000000000001,0.0101,0.008,0.558,0.384,0.017,0.035,0.018000000000000002,0.018000000000000002,0.055,0.15,0.059000000000000004,0.021,0.013000000000000001,990000.0,58418.0,0.233,0.303,0.132,0.45099999999999996,0.115,0.374,0.079,0.138,0.12,0.073,0.017,0.068,0.18,0.217,0.569,0.18708881578947367,0.0052173913043478265,149.09083498157926,-35.24404015148164
801011004,Charnwood,2860.0,1541.0,35.7,0.222,0.133,0.0236,0.031,0.761,0.19399999999999998,0.019,0.049,0.018000000000000002,0.01,0.049,0.01,0.012,0.019,0.009000000000000001,502500.0,58169.0,0.193,0.253,0.039,0.183,0.086,0.193,0.138,0.138,0.16899999999999998,0.09,0.01,0.166,0.21600000000000003,0.441,0.315,0.8847884788478848,0.024539877300613498,149.03412954087813,-35.20017651912404
801011005,Cook,2810.0,1775.0,43.5,0.184,0.201,0.019,0.013000000000000001,0.581,0.251,0.015,0.08199999999999999,0.026000000000000002,0.008,0.033,0.03,0.024,0.024,0.008,787500.0,68674.0,0.171,0.391,0.187,0.527,0.098,0.478,0.055999999999999994,0.084,0.098,0.067,0.008,0.065,0.382,0.35100000000000003,0.245,0.5856164383561644,0.019230769230769232,149.06639691602703,-35.26007429684461
801011006,Dunlop,7131.0,1985.9,35.4,0.243,0.091,0.0192,0.022000000000000002,0.775,0.20199999999999999,0.018000000000000002,0.040999999999999995,0.019,0.009000000000000001,0.038,0.016,0.036000000000000004,0.013999999999999999,0.011000000000000001,610000.0,67903.0,0.158,0.33899999999999997,0.057999999999999996,0.244,0.114,0.276,0.10400000000000001,0.129,0.171,0.068,0.032,0.085,0.182,0.614,0.188,0.90153452685422,0.016260162601626018,149.01981575285862,-35.19399292109814
801011007,Evatt,5207.0,1701.5,38.1,0.21200000000000002,0.14800000000000002,0.0182,0.017,0.6970000000000001,0.188,0.013000000000000001,0.048,0.025,0.008,0.025,0.02,0.02,0.016,0.01,627500.0,62317.0,0.184,0.307,0.07400000000000001,0.29600000000000004,0.156,0.298,0.102,0.124,0.138,0.051,0.027000000000000003,0.087,0.33899999999999997,0.43,0.21100000000000002,0.9630233822729745,0.010676156583629894,149.0689187532509,-35.21189260411921
801011008,Florey,4655.0,1689.4,39.2,0.18100000000000002,0.171,0.0171,0.015,0.738,0.301,0.018000000000000002,0.044000000000000004,0.035,0.01,0.066,0.045,0.053,0.015,0.012,745000.0,59613.0,0.209,0.289,0.085,0.32299999999999995,0.11599999999999999,0.28,0.10099999999999999,0.149,0.134,0.07200000000000001,0.036000000000000004,0.09699999999999999,0.325,0.289,0.359,0.7595291479820628,0.03125,149.050001680978,-35.225869561272525
801011009,Flynn,3369.0,1607.7,40.0,0.209,0.16799999999999998,0.0223,0.016,0.688,0.17,0.018000000000000002,0.059000000000000004,0.023,0.006999999999999999,0.02,0.013000000000000001,0.008,0.011000000000000001,0.01,625000.0,65275.0,0.188,0.33299999999999996,0.07,0.295,0.136,0.262,0.126,0.096,0.23199999999999998,0.076,0.026000000000000002,0.04,0.358,0.45399999999999996,0.16399999999999998,0.9805996472663139,0.0136986301369863,149.04389703976636,-35.205912388793365
801011010,Fraser,1960.0,791.9,43.7,0.195,0.213,0.021,0.017,0.5589999999999999,0.155,0.013999999999999999,0.084,0.011000000000000001,0.004,0.008,0.006999999999999999,0.004,0.011000000000000001,0.011000000000000001,725000.0,62694.0,0.182,0.33,0.069,0.314,0.16,0.28800000000000003,0.147,0.086,0.16,0.049,0.055,0.08,0.37799999999999995,0.484,0.11800000000000001,0.9485294117647058,0.012295081967213115,149.0453445741244,-35.1916886652092
801011011,Giralang,3330.0,1361.0,38.5,0.22399999999999998,0.16799999999999998,0.0199,0.02,0.7070000000000001,0.223,0.021,0.051,0.036000000000000004,0.008,0.024,0.037000000000000005,0.018000000000000002,0.015,0.011000000000000001,701250.0,62091.0,0.177,0.316,0.087,0.336,0.147,0.287,0.102,0.12300000000000001,0.16899999999999998,0.04,0.008,0.086,0.365,0.402,0.21,0.9342105263157895,0.012295081967213115,149.09599444367524,-35.21088896312471
801011013,Hawker,2982.0,1524.3,41.7,0.174,0.218,0.015600000000000001,0.009000000000000001,0.714,0.251,0.019,0.065,0.024,0.006,0.03,0.025,0.054000000000000006,0.013000000000000001,0.016,910000.0,62072.0,0.193,0.34299999999999997,0.124,0.449,0.146,0.305,0.08900000000000001,0.107,0.12,0.05,0.028999999999999998,0.086,0.402,0.322,0.252,0.6714801444043321,0.015957446808510637,149.0365686139206,-35.247034665970304
801011014,Higgins,3109.0,1856.9,38.7,0.18700000000000003,0.17800000000000002,0.017,0.013999999999999999,0.7150000000000001,0.223,0.015,0.071,0.022000000000000002,0.006,0.036000000000000004,0.027999999999999997,0.021,0.016,0.006999999999999999,598000.0,60568.0,0.18,0.292,0.073,0.279,0.11199999999999999,0.254,0.145,0.15,0.13,0.05,0.040999999999999995,0.09699999999999999,0.298,0.461,0.21899999999999997,0.9443430656934306,0.018404907975460124,149.0272081160619,-35.232402647194526
801011015,Holt,4863.0,1475.6,37.7,0.205,0.17799999999999996,0.0219,0.032,0.743,0.209,0.018000000000000002,0.065,0.018000000000000002,0.01,0.024,0.016,0.03,0.018000000000000002,0.01,590000.0,59700.0,0.187,0.27699999999999997,0.062,0.254,0.115,0.253,0.115,0.172,0.157,0.051,0.062,0.068,0.3,0.37200000000000005,0.29,0.5838996340825928,0.009230769230769232,149.0118838911391,-35.22440090123718
801011016,Kaleen,7459.0,1237.6,38.5,0.18899999999999997,0.188,0.0183,0.011000000000000001,0.6930000000000001,0.278,0.018000000000000002,0.05,0.046,0.009000000000000001,0.04,0.051,0.039,0.016,0.01,745000.0,58111.0,0.20800000000000002,0.307,0.095,0.348,0.11699999999999999,0.314,0.09699999999999999,0.13699999999999998,0.128,0.062,0.019,0.11,0.40399999999999997,0.342,0.22699999999999998,0.9376498800959233,0.004754358161648178,149.10918116936992,-35.22779875081625
801011017,Latham,3684.0,1348.9,37.5,0.22699999999999998,0.145,0.0195,0.019,0.6930000000000001,0.187,0.017,0.051,0.019,0.006,0.028999999999999998,0.022000000000000002,0.015,0.016,0.012,606500.0,60166.0,0.182,0.285,0.061,0.265,0.13,0.26899999999999996,0.08800000000000001,0.156,0.14400000000000002,0.071,0.025,0.091,0.313,0.457,0.20600000000000002,0.8980694980694981,0.023809523809523808,149.03144829991132,-35.21650756483687
801011018,Lawson,2012.0,652.3,30.1,0.18,0.041999999999999996,0.0146,,0.595,0.534,0.02,0.027000000000000003,,,0.034,0.196,0.182,0.02,0.02,909500.0,65253.0,0.19899999999999998,0.303,0.212,0.452,0.10300000000000001,0.48700000000000004,0.154,0.231,0.067,,,,0.079,0.605,0.316,1.0,,149.08821888707195,-35.22502817360575
801011019,Macgregor,7343.0,1717.7,33.6,0.257,0.09700000000000002,0.0182,0.021,0.748,0.248,0.019,0.046,0.019,0.01,0.038,0.024,0.063,0.013999999999999999,0.015,550000.0,66406.0,0.153,0.311,0.079,0.3,0.095,0.299,0.09300000000000001,0.132,0.153,0.084,0.031,0.094,0.18100000000000002,0.588,0.213,0.8160200250312891,0.007058823529411765,149.01101600811774,-35.20978915357394
801011020,Macquarie,2824.0,1660.8,39.4,0.17799999999999996,0.17800000000000002,0.0131,0.023,0.6539999999999999,0.297,0.021,0.064,0.026000000000000002,0.01,0.040999999999999995,0.053,0.05,0.02,0.012,738500.0,58363.0,0.21600000000000003,0.315,0.122,0.42100000000000004,0.113,0.364,0.096,0.135,0.106,0.066,0.032,0.059000000000000004,0.304,0.252,0.424,0.7065420560747664,0.04142011834319527,149.0632506235711,-35.251172936170754
801011021,McKellar,2843.0,2010.6,42.0,0.16899999999999998,0.19,0.0181,0.02,0.717,0.276,0.021,0.044000000000000004,0.062,0.008,0.048,0.040999999999999995,0.025,0.018000000000000002,0.01,765000.0,61829.0,0.203,0.331,0.084,0.342,0.16,0.315,0.094,0.075,0.165,0.048,0.019,0.121,0.39899999999999997,0.37200000000000005,0.213,0.9468546637744034,0.020833333333333332,149.07704071090384,-35.21751162905314
801011022,Melba,3246.0,1406.8,39.1,0.226,0.18100000000000002,0.0227,0.017,0.6950000000000001,0.204,0.022000000000000002,0.06,0.027000000000000003,0.009000000000000001,0.023,0.02,0.02,0.016,0.008,635750.0,61313.0,0.19699999999999998,0.314,0.078,0.33,0.136,0.301,0.10300000000000001,0.10300000000000001,0.156,0.036000000000000004,0.01,0.099,0.345,0.41100000000000003,0.221,0.8099910793933988,0.012987012987012988,149.05405593381545,-35.21014385225659
801011023,Page,3120.0,2359.2,37.6,0.174,0.21299999999999997,0.0155,0.013999999999999999,0.764,0.297,0.015,0.07,0.036000000000000004,0.013000000000000001,0.046,0.037000000000000005,0.052000000000000005,0.012,0.017,623000.0,54782.0,0.235,0.26,0.084,0.32,0.055999999999999994,0.331,0.10800000000000001,0.16699999999999998,0.10800000000000001,0.07200000000000001,0.031,0.10800000000000001,0.307,0.251,0.36,0.6498696785403997,0.02654867256637168,149.04988084888498,-35.23862363765876
801011024,Scullin,3020.0,2117.8,35.8,0.21700000000000003,0.13699999999999998,0.0199,0.017,0.7150000000000001,0.251,0.015,0.057,0.018000000000000002,0.013000000000000001,0.027999999999999997,0.037000000000000005,0.05,0.017,0.019,598000.0,57988.0,0.196,0.285,0.095,0.33799999999999997,0.09300000000000001,0.281,0.129,0.163,0.121,0.055999999999999994,0.031,0.098,0.28,0.349,0.34299999999999997,0.7835144927536232,,149.03900655522165,-35.23460969706593
801011025,Spence,2635.0,1730.8,38.2,0.212,0.16699999999999998,0.0184,0.024,0.729,0.168,0.019,0.059000000000000004,0.025,0.008,0.024,0.009000000000000001,0.009000000000000001,0.015,0.006999999999999999,687500.0,63501.0,0.18,0.302,0.067,0.28200000000000003,0.102,0.33299999999999996,0.071,0.129,0.129,0.044000000000000004,0.036000000000000004,0.084,0.33799999999999997,0.42200000000000004,0.222,0.9347581552305961,0.02,149.0643837609741,-35.19871733221611
801011026,Weetangera,2650.0,1673.8,43.7,0.188,0.20900000000000002,0.0199,0.003,0.637,0.22399999999999998,0.019,0.061,0.032,0.008,0.013000000000000001,0.033,0.026000000000000002,0.019,0.012,934500.0,68923.0,0.18600000000000003,0.395,0.152,0.49400000000000005,0.152,0.4,0.059000000000000004,0.09300000000000001,0.128,0.034,0.040999999999999995,0.086,0.486,0.345,0.147,0.9240654205607477,0.017142857142857144,149.0497329631878,-35.25013878982848
801031031,Hume,434.0,50.6,36.4,0.0,0.04300000000000001,,0.226,0.99,0.16699999999999998,0.027999999999999997,0.009000000000000001,0.023,0.033,0.027999999999999997,0.012,0.027999999999999997,0.006999999999999999,0.006999999999999999,,49896.0,0.34600000000000003,0.192,,0.009000000000000001,,,,,,,,,,,,,,149.16582131292677,-35.38547168089283
801031113,Canberra East,825.0,26.6,52.3,0.08,0.25999999999999995,,0.023,0.8069999999999999,0.192,0.033,0.057999999999999996,0.015,0.004,0.033,0.005,0.019,0.005,0.01,,49149.0,0.266,0.192,0.032,0.107,0.171,0.071,0.086,0.14300000000000002,0.057,0.043,0.086,0.243,0.47200000000000003,0.086,0.39,0.4987593052109181,0.0009715025906735751,149.16074307859185,-35.35988318153351
801031115,Majura,207.0,2.3,37.3,0.154,0.125,,,0.667,0.158,0.018000000000000002,0.08199999999999999,0.018000000000000002,0.028999999999999998,0.028999999999999998,,,0.018000000000000002,0.017,,69472.0,0.213,0.40399999999999997,0.04,0.254,0.42100000000000004,0.316,0.21100000000000002,0.5,0.5,0.5,0.034,0.158,0.26899999999999996,0.25,0.40399999999999997,1.0,,149.21036783002685,-35.272916751001006
801041034,Amaroo,5899.0,2280.1,34.9,0.239,0.079,0.0196,0.015,0.772,0.228,0.02,0.043,0.027999999999999997,0.008,0.03,0.025,0.045,0.016,0.016,733000.0,68625.0,0.182,0.37799999999999995,0.085,0.319,0.142,0.331,0.085,0.096,0.158,0.059000000000000004,0.037000000000000005,0.059000000000000004,0.20600000000000002,0.524,0.24600000000000002,0.8539700166574126,,149.12802706308275,-35.16957516485267
801041035,Bonner,7341.0,2663.7,31.6,0.311,0.036000000000000004,0.0199,0.011000000000000001,0.849,0.381,0.019,0.028999999999999998,0.018000000000000002,0.019,0.052000000000000005,0.035,0.16,0.015,0.036000000000000004,660000.0,66750.0,0.162,0.34,0.134,0.3940000000000001,0.109,0.342,0.105,0.11599999999999999,0.136,0.078,0.026000000000000002,0.064,0.067,0.623,0.287,0.7679112008072654,0.011152416356877323,149.14297689944914,-35.155964077013635
801041036,Casey,6819.0,2600.2,33.2,0.25299999999999995,0.049,0.0172,0.016,0.756,0.28,0.015,0.034,0.019,0.009000000000000001,0.037000000000000005,0.044000000000000004,0.079,0.016,0.027000000000000003,681500.0,72609.0,0.13699999999999998,0.377,0.092,0.337,0.10800000000000001,0.311,0.107,0.146,0.157,0.052000000000000005,0.023,0.071,0.081,0.643,0.26,0.6192405063291139,0.01171875,149.094710692208,-35.16699985690988
801041037,Crace,5320.0,3220.7,33.6,0.24600000000000002,0.06899999999999999,0.0173,0.01,0.6639999999999999,0.38,0.013999999999999999,0.035,0.019,0.011000000000000001,0.038,0.11199999999999999,0.11699999999999999,0.015,0.021,780500.0,74155.0,0.154,0.40399999999999997,0.17800000000000002,0.483,0.136,0.401,0.079,0.09300000000000001,0.14400000000000002,0.052000000000000005,0.018000000000000002,0.047,0.09699999999999999,0.5539999999999999,0.308,0.645224171539961,,149.1074233853928,-35.20282145220843
801041038,Forde,4642.0,2421.4,34.8,0.285,0.05599999999999999,0.016399999999999998,0.01,0.753,0.307,0.013999999999999999,0.05,0.021,0.013000000000000001,0.038,0.059000000000000004,0.07400000000000001,0.016,0.024,800000.0,81098.0,0.146,0.47,0.139,0.43200000000000005,0.172,0.379,0.085,0.1,0.146,0.062,0.016,0.031,0.128,0.626,0.23,0.8077507598784195,0.045,149.14607878626708,-35.16816855789825
801041039,Franklin,7480.0,3257.0,31.8,0.226,0.043,0.0149,0.012,0.651,0.469,0.015,0.023,0.016,0.018000000000000002,0.068,0.155,0.134,0.02,0.018000000000000002,775000.0,61626.0,0.19899999999999998,0.311,0.156,0.46599999999999997,0.134,0.35100000000000003,0.111,0.11199999999999999,0.12,0.065,0.03,0.06,0.08800000000000001,0.467,0.419,0.5054249547920434,0.04,149.14329880151925,-35.19944798442138
801041040,Gungahlin,6972.0,1527.5,32.3,0.175,0.07,0.0165,0.013000000000000001,0.655,0.414,0.018000000000000002,0.027999999999999997,0.019,0.02,0.062,0.136,0.085,0.015,0.027999999999999997,716500.0,54380.0,0.23399999999999999,0.265,0.114,0.365,0.12,0.28600000000000003,0.128,0.111,0.138,0.077,0.019,0.094,0.124,0.312,0.542,0.39556198745779064,0.016842105263157894,149.1361985065766,-35.18673080880664
801041043,Hall,291.0,101.8,40.8,0.172,0.176,,0.026000000000000002,0.6,0.14800000000000002,0.026000000000000002,0.10300000000000001,0.011000000000000001,,,,0.009000000000000001,0.011000000000000001,,,64135.0,0.20600000000000002,0.413,0.069,0.263,0.21100000000000002,0.21100000000000002,0.21100000000000002,0.086,0.368,0.158,0.046,0.086,0.489,0.315,0.196,0.8787878787878788,,149.06281872575843,-35.16917027484217
801041044,Harrison,8866.0,3039.6,31.3,0.233,0.04,0.012,0.008,0.6699999999999999,0.40299999999999997,0.018000000000000002,0.031,0.016,0.013999999999999999,0.051,0.122,0.11599999999999999,0.018000000000000002,0.017,759000.0,65766.0,0.184,0.349,0.157,0.44799999999999995,0.11800000000000001,0.353,0.096,0.139,0.121,0.065,0.025,0.061,0.09,0.46,0.43,0.5159637366968861,0.02181818181818182,149.15610039343727,-35.19907740469506
801041046,Ngunnawal,11211.0,2695.5,33.5,0.23,0.1,0.019799999999999998,0.018000000000000002,0.756,0.251,0.019,0.038,0.02,0.011000000000000001,0.04,0.032,0.059000000000000004,0.016,0.017,572150.0,63641.0,0.17,0.306,0.076,0.29600000000000004,0.12,0.264,0.11699999999999999,0.146,0.147,0.073,0.028999999999999998,0.083,0.18600000000000003,0.508,0.28600000000000003,0.6659563132658498,0.025,149.11147152041153,-35.1727901632362
801041047,Nicholls,6908.0,1030.8,43.2,0.17600000000000002,0.15500000000000003,0.015,0.013000000000000001,0.7150000000000001,0.27399999999999997,0.02,0.063,0.032,0.009000000000000001,0.035,0.045,0.038,0.013999999999999999,0.018000000000000002,866250.0,68383.0,0.19,0.39,0.1,0.34299999999999997,0.177,0.342,0.08,0.07200000000000001,0.17,0.057,0.023,0.057,0.39,0.431,0.166,0.8630897317298798,0.016591251885369532,149.09648669662542,-35.18732042200296
801041048,Palmerston,5510.0,2828.4,36.5,0.207,0.12,0.0177,0.013999999999999999,0.72,0.298,0.012,0.040999999999999995,0.027000000000000003,0.009000000000000001,0.063,0.057999999999999996,0.055999999999999994,0.018000000000000002,0.016,733000.0,62621.0,0.195,0.318,0.098,0.3340000000000001,0.12300000000000001,0.27699999999999997,0.111,0.11699999999999999,0.14300000000000002,0.07200000000000001,0.022000000000000002,0.10400000000000001,0.275,0.39399999999999996,0.303,0.5787583376090303,0.015957446808510637,149.11940926206688,-35.1944562036072
801041118,Jacka,760.0,260.5,29.6,0.31200000000000006,0.028999999999999998,,0.021,0.847,0.391,0.01,0.021,0.018000000000000002,0.01,0.025,0.043,0.21600000000000003,0.019,0.022000000000000002,600000.0,65692.0,0.16899999999999998,0.27,0.142,0.4040000000000001,0.10800000000000001,0.26899999999999996,0.09,0.15,0.156,0.10800000000000001,0.024,0.054000000000000006,0.027000000000000003,0.737,0.237,0.4177777777777778,,149.13043510271368,-35.14951245808143
801041120,Moncrieff,4388.0,2288.8,30.2,0.27399999999999997,0.032,0.0262,,0.925,0.381,,0.028999999999999998,,,,,0.19,,0.067,737500.0,66853.0,0.156,0.315,0.13,0.304,0.12,0.32,0.102,0.36,0.12,0.061,0.12,,,0.789,0.21100000000000002,1.0,,149.11628910961593,-35.158819751909675
801041121,Taylor,936.0,308.0,28.3,0.308,0.026999999999999996,,,,,,,,,,,,,,770000.0,64497.0,0.19699999999999998,0.28800000000000003,,0.0,,,,,,,,,,,,,,149.10791362879905,-35.14809472651112
801041122,Throsby,1328.0,897.6,29.8,0.289,0.022000000000000002,0.024900000000000002,,,,,,,,,,,,,745000.0,64018.0,0.195,0.374,,0.0,,,,,,,,,,,,,,149.16178883242264,-35.18897118222237
801051049,Acton,2196.0,802.2,22.8,0.03,0.013000000000000001,,0.006,0.509,0.507,0.024,0.048,0.006,0.016,0.10300000000000001,0.185,0.07200000000000001,0.032,0.02,,10433.0,0.778,0.04,0.107,0.307,0.02,0.359,0.024,0.243,0.096,0.127,0.012,0.127,,,1.0,0.2727272727272727,0.01486988847583643,149.11505674212054,-35.28133915503926
801051050,Ainslie,5216.0,1473.2,42.7,0.172,0.192,0.013999999999999999,0.015,0.5660000000000001,0.21899999999999997,0.021,0.07200000000000001,0.026000000000000002,0.006999999999999999,0.027999999999999997,0.021,0.015,0.022000000000000002,0.008,1060944.0,70135.0,0.20199999999999999,0.40399999999999997,0.154,0.474,0.154,0.449,0.064,0.086,0.107,0.043,0.011000000000000001,0.051,0.28800000000000003,0.28600000000000003,0.361,0.7073417721518988,0.014044943820224719,149.1478514842155,-35.2622339797606
801051051,Braddon,6477.0,4600.8,30.5,0.063,0.072,0.0063,0.016,0.531,0.327,0.015,0.054000000000000006,0.021,0.011000000000000001,0.055999999999999994,0.094,0.042,0.025,0.009000000000000001,1350000.0,76078.0,0.16399999999999998,0.405,0.15,0.503,0.135,0.39399999999999996,0.075,0.121,0.1,0.053,0.005,0.096,0.098,0.19399999999999998,0.6759999999999999,0.07533964594483326,0.10869565217391304,149.13568263585958,-35.27080137641737
801051053,Civic,4885.0,3413.9,26.3,0.06,0.05800000000000001,0.0053,0.008,0.4,0.49700000000000005,0.018000000000000002,0.044000000000000004,0.015,0.013000000000000001,0.073,0.268,0.037000000000000005,0.027000000000000003,0.005,,55143.0,0.322,0.332,0.126,0.40399999999999997,0.10300000000000001,0.43799999999999994,0.054000000000000006,0.11599999999999999,0.11800000000000001,0.10300000000000001,0.005,0.05,0.113,0.187,0.677,,0.041666666666666664,149.12916957593515,-35.28126033605193
801051054,Dickson,2779.0,1761.2,32.2,0.126,0.08700000000000001,0.0126,0.011000000000000001,0.565,0.289,0.015,0.062,0.028999999999999998,0.017,0.043,0.061,0.040999999999999995,0.019,0.004,888000.0,63613.0,0.223,0.33299999999999996,0.16399999999999998,0.49599999999999994,0.107,0.37200000000000005,0.095,0.126,0.11,0.05,0.009000000000000001,0.12,0.231,0.23,0.51,0.48642533936651583,0.02,149.14174760290996,-35.25279255869174
801051055,Downer,4016.0,2457.5,35.2,0.185,0.128,0.013500000000000002,0.016,0.605,0.29,0.02,0.063,0.027999999999999997,0.006999999999999999,0.05,0.046,0.046,0.022000000000000002,0.008,805000.0,61938.0,0.20199999999999999,0.33299999999999996,0.139,0.429,0.113,0.292,0.09300000000000001,0.102,0.10400000000000001,0.026000000000000002,0.018000000000000002,0.22,0.27399999999999997,0.297,0.389,0.7548148148148148,0.022857142857142857,149.14354606525688,-35.24393883914944
801051056,Hackett,3206.0,1644.3,40.5,0.21899999999999997,0.154,0.0178,0.018000000000000002,0.589,0.21100000000000002,0.023,0.062,0.027000000000000003,0.006999999999999999,0.024,0.016,0.02,0.019,0.011000000000000001,900000.0,71236.0,0.19399999999999998,0.415,0.17800000000000002,0.5259999999999999,0.153,0.419,0.08800000000000001,0.091,0.1,0.063,0.01,0.069,0.39,0.32,0.261,0.7532808398950132,,149.1635299096252,-35.24946530691896
801051057,Lyneham,5640.0,1029.6,35.6,0.133,0.141,0.0101,0.009000000000000001,0.652,0.317,0.019,0.067,0.039,0.011000000000000001,0.048,0.048,0.055,0.022000000000000002,0.008,881000.0,64959.0,0.18100000000000002,0.335,0.157,0.489,0.133,0.381,0.078,0.107,0.099,0.042,0.015,0.122,0.21100000000000002,0.20600000000000002,0.537,0.2880886426592798,0.005454545454545455,149.1307482555911,-35.23978218677249
801051058,O'Connor,5970.0,1211.3,35.3,0.158,0.139,0.0121,0.01,0.518,0.243,0.019,0.07200000000000001,0.02,0.008,0.03,0.027999999999999997,0.03,0.026000000000000002,0.008,1062500.0,69397.0,0.20800000000000002,0.39899999999999997,0.188,0.539,0.145,0.439,0.057999999999999996,0.087,0.092,0.043,0.011000000000000001,0.111,0.276,0.282,0.413,0.6575670498084292,0.014553014553014554,149.11248834912757,-35.25643235095472
801051060,Turner,4706.0,3060.4,32.4,0.078,0.099,0.0073,0.006999999999999999,0.5640000000000001,0.345,0.021,0.052000000000000005,0.024,0.016,0.062,0.085,0.054000000000000006,0.024,0.011000000000000001,1600000.0,73692.0,0.201,0.405,0.212,0.5539999999999999,0.13,0.41100000000000003,0.052000000000000005,0.09699999999999999,0.109,0.066,0.01,0.125,0.156,0.185,0.63,0.13711453744493393,0.023668639053254437,149.12466771920566,-35.26881613017723
